<TIME>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<VOL>;<PER>;<TICKER>;<DATE>
180000;1.64;1.64;1.64;1.64;500;1;AFLT;19990322
180000;4.0;4.0;4.0;4.0;500;1;AFLT;19990811
180000;2.3;2.3;2.3;2.3;13250;1;AFLT;19990826
180000;0.01;2.5;2.5;0.01;2;1;AFLT;19990915
180000;1.3;1.3;1.3;1.3;1000;1;AFLT;19990922
180000;1.4;1.4;1.4;1.4;750;1;AFLT;19990923
180000;1.49;1.49;1.49;1.49;12000;1;AFLT;19991008
180000;1.52;1.52;1.52;1.52;2700;1;AFLT;19991014
180000;1.55;1.55;1.55;1.55;14700;1;AFLT;19991019
180000;1.7;1.7;1.7;1.7;500;1;AFLT;19991102
180000;1.6;1.6;1.6;1.6;5000;1;AFLT;19991104
180000;1.9;1.9;1.9;1.9;24150;1;AFLT;19991116
180000;1.85;1.85;1.85;1.85;3950;1;AFLT;19991117
180000;1.95;1.95;1.95;1.95;25000;1;AFLT;19991119
180000;2.2;2.2;2.2;2.2;3700;1;AFLT;19991125
180000;2.2;2.2;2.2;2.2;10000;1;AFLT;19991202
180000;2.5;2.5;2.5;2.5;15900;1;AFLT;19991220
180000;2.62;2.5;2.62;2.5;111442;1;AFLT;19991221
180000;3.0;3.45;3.45;3.0;21729;1;AFLT;19991222
180000;3.45;3.45;3.45;3.45;1500;1;AFLT;19991223
180000;3.5;3.5;3.5;3.5;13428;1;AFLT;19991224
180000;3.5;3.6;3.6;3.5;2592;1;AFLT;19991227
180000;5.0;5.2;5.2;5.0;851;1;AFLT;19991228
180000;5.4;5.5;5.5;5.4;8660;1;AFLT;19991229
180000;5.0;5.4;5.4;5.0;1600;1;AFLT;19991230
180000;6.9;7.0;7.0;6.88;11090;1;AFLT;20000105
180000;6.5;7.0;7.0;6.5;45344;1;AFLT;20000110
180000;5.4;7.0;7.0;5.4;21240;1;AFLT;20000111
180000;6.6;6.6;6.6;6.6;1;1;AFLT;20000112
180000;6.6;6.6;6.75;6.0;5128;1;AFLT;20000113
180000;6.45;6.6;6.6;6.45;21500;1;AFLT;20000114
180000;6.5;6.6;6.6;6.5;15100;1;AFLT;20000117
180000;6.0;6.3;6.4;6.0;30004;1;AFLT;20000118
180000;6.0;6.0;6.0;6.0;7000;1;AFLT;20000119
180000;6.0;5.9;6.0;5.9;20644;1;AFLT;20000120
180000;6.1;6.0;6.1;6.0;2027;1;AFLT;20000121
180000;6.1;5.93;6.1;5.93;37223;1;AFLT;20000127
180000;5.0;5.0;5.0;5.0;9300;1;AFLT;20000201
180000;5.7;5.7;5.7;5.7;4150;1;AFLT;20000202
180000;5.45;5.45;5.45;5.45;25000;1;AFLT;20000208
180000;5.8;5.8;5.8;5.8;16;1;AFLT;20000209
180000;5.45;5.45;5.45;5.45;39000;1;AFLT;20000210
180000;5.6;5.6;5.6;5.6;8714;1;AFLT;20000211
180000;5.5;5.5;5.5;5.5;1100;1;AFLT;20000216
180000;5.45;5.45;5.45;5.45;2000;1;AFLT;20000217
180000;5.04;5.35;5.35;5.04;800;1;AFLT;20000218
180000;5.0;5.0;5.0;5.0;100;1;AFLT;20000221
180000;5.0;5.0;5.0;5.0;490;1;AFLT;20000222
180000;5.22;5.2;5.22;5.2;20700;1;AFLT;20000223
180000;5.59;5.59;5.59;5.59;314;1;AFLT;20000224
180000;4.8;4.8;4.8;4.8;1400;1;AFLT;20000302
180000;5.0;5.0;5.0;5.0;2000;1;AFLT;20000306
180000;5.0;5.0;5.0;5.0;3000;1;AFLT;20000307
180000;5.23;5.13;5.23;5.1;43480;1;AFLT;20000309
180000;5.3;5.23;5.3;5.23;26000;1;AFLT;20000310
180000;5.0;5.0;5.0;5.0;5350;1;AFLT;20000313
180000;5.15;5.1;5.15;4.95;26271;1;AFLT;20000314
180000;5.1;5.0;5.1;5.0;113936;1;AFLT;20000315
180000;5.3;5.3;5.3;5.3;22800;1;AFLT;20000316
180000;5.01;5.39;5.39;5.01;27679;1;AFLT;20000317
180000;5.04;5.05;5.05;4.87;36145;1;AFLT;20000320
180000;4.95;5.15;5.15;4.95;52503;1;AFLT;20000321
180000;5.11;5.2;5.3;5.1;143750;1;AFLT;20000322
180000;5.0;5.2;5.2;5.0;14435;1;AFLT;20000323
180000;4.97;5.1;5.2;4.97;115790;1;AFLT;20000324
180000;5.0;5.2;5.4;5.0;58945;1;AFLT;20000327
180000;5.19;5.2;5.2;5.1;36880;1;AFLT;20000328
180000;5.35;5.3;5.4;5.29;121956;1;AFLT;20000329
180000;5.16;5.35;5.35;5.16;49441;1;AFLT;20000330
180000;5.0;5.25;5.25;5.0;4025;1;AFLT;20000331
180000;5.4;5.19;5.4;5.16;146350;1;AFLT;20000403
180000;5.59;5.21;5.59;5.21;60800;1;AFLT;20000404
180000;5.4;5.4;5.4;5.4;1000;1;AFLT;20000405
180000;5.4;5.3;5.4;5.3;13294;1;AFLT;20000406
180000;5.59;5.5;5.59;5.5;6372;1;AFLT;20000407
180000;5.85;5.45;5.85;5.45;40489;1;AFLT;20000410
180000;5.99;6.0;6.09;5.6;38200;1;AFLT;20000411
180000;5.65;5.7;5.7;5.65;15500;1;AFLT;20000412
180000;5.65;5.7;5.79;5.61;25221;1;AFLT;20000414
180000;5.02;5.15;5.15;5.02;3000;1;AFLT;20000417
180000;5.58;5.6;5.63;5.15;95010;1;AFLT;20000418
180000;5.53;5.6;5.6;5.4;50959;1;AFLT;20000419
180000;5.5;5.45;5.5;5.45;307051;1;AFLT;20000420
180000;5.65;5.65;5.65;5.65;1510;1;AFLT;20000421
180000;5.2;5.5;5.5;5.2;105000;1;AFLT;20000424
180000;5.25;5.4;5.45;5.25;9100;1;AFLT;20000425
180000;5.6;5.4;5.6;5.4;37435;1;AFLT;20000426
180000;5.45;5.4;5.45;5.06;29661;1;AFLT;20000427
180000;5.55;5.55;5.59;5.55;45100;1;AFLT;20000428
180000;6.0;5.6;6.0;5.6;469;1;AFLT;20000503
180000;5.5;5.6;5.6;5.5;1100;1;AFLT;20000505
180000;5.56;5.6;5.6;5.53;14260;1;AFLT;20000506
180000;5.69;5.51;5.69;5.51;21002;1;AFLT;20000510
180000;5.52;5.45;5.52;5.4;18840;1;AFLT;20000511
180000;5.45;6.22;6.22;5.26;15201;1;AFLT;20000512
180000;5.2;5.26;5.28;5.2;41540;1;AFLT;20000515
180000;5.0;5.2;5.2;5.0;14100;1;AFLT;20000517
180000;5.0;5.0;5.0;5.0;11000;1;AFLT;20000518
180000;4.55;4.55;4.55;4.55;2900;1;AFLT;20000519
180000;5.0;4.3;5.01;4.3;33100;1;AFLT;20000526
180000;5.4;4.15;5.5;4.15;121578;1;AFLT;20000602
180000;5.0;4.81;5.0;4.81;54000;1;AFLT;20000608
180000;5.32;5.32;5.32;5.32;1;1;AFLT;20000613
180000;5.35;4.0;5.35;4.0;26064;1;AFLT;20000614
180000;4.96;5.0;5.0;4.96;181;1;AFLT;20000615
180000;4.88;4.5;4.88;4.5;5590;1;AFLT;20000620
180000;4.35;4.35;4.35;4.35;24150;1;AFLT;20000621
180000;4.5;4.5;4.6;4.5;24602;1;AFLT;20000627
180000;4.15;4.15;4.15;4.15;8000;1;AFLT;20000628
180000;4.45;4.45;4.45;4.45;1100;1;AFLT;20000629
180000;4.44;4.5;4.5;4.44;1100;1;AFLT;20000630
180000;4.45;4.45;4.45;4.45;50;1;AFLT;20000703
180000;4.36;4.36;4.36;4.36;10000;1;AFLT;20000704
180000;4.77;4.55;4.85;4.55;20251;1;AFLT;20000706
180000;4.61;4.85;4.85;4.61;6100;1;AFLT;20000707
180000;4.66;4.81;4.81;4.66;15252;1;AFLT;20000710
180000;4.7;4.41;4.7;4.41;22000;1;AFLT;20000711
180000;4.95;4.95;4.95;4.95;8000;1;AFLT;20000712
180000;4.9;4.9;4.9;4.9;4901;1;AFLT;20000713
180000;4.9;4.9;4.9;4.9;2025;1;AFLT;20000714
180000;4.66;4.66;4.66;4.66;28550;1;AFLT;20000717
180000;4.7;4.7;4.7;4.7;18550;1;AFLT;20000718
180000;4.77;4.7;4.77;4.7;23566;1;AFLT;20000719
180000;4.71;4.7;4.71;4.7;13072;1;AFLT;20000720
180000;4.77;4.77;4.77;4.77;34000;1;AFLT;20000721
180000;4.7;4.7;4.7;4.7;15800;1;AFLT;20000724
180000;4.66;4.65;4.67;4.65;1800;1;AFLT;20000727
180000;4.7;4.7;4.7;4.7;28000;1;AFLT;20000731
180000;4.9;5.4;5.4;4.6;40300;1;AFLT;20000801
180000;5.0;4.9;5.0;4.9;386800;1;AFLT;20000802
180000;5.01;5.0;5.05;5.0;102902;1;AFLT;20000803
180000;5.1;5.3;5.3;5.1;5311;1;AFLT;20000804
180000;5.19;5.0;5.19;5.0;4699;1;AFLT;20000809
180000;5.0;5.0;5.0;5.0;28000;1;AFLT;20000810
180000;4.94;5.0;5.05;4.9;102800;1;AFLT;20000811
180000;5.3;5.29;5.3;5.29;46559;1;AFLT;20000814
180000;5.35;5.1;5.35;5.1;3750;1;AFLT;20000815
180000;5.41;5.4;5.5;5.4;69922;1;AFLT;20000816
180000;5.4;5.45;5.45;5.4;92845;1;AFLT;20000817
180000;5.4;5.49;5.49;5.01;2506;1;AFLT;20000818
180000;5.5;5.45;5.5;5.45;124025;1;AFLT;20000822
180000;5.59;5.5;5.59;5.5;30300;1;AFLT;20000823
180000;5.65;5.5;5.77;5.45;92839;1;AFLT;20000824
180000;5.62;5.68;5.68;5.62;2300;1;AFLT;20000825
180000;5.51;5.51;5.51;5.51;15000;1;AFLT;20000828
180000;5.83;5.89;5.9;5.75;46970;1;AFLT;20000829
180000;5.7;5.91;5.92;5.7;5150;1;AFLT;20000830
180000;5.7;5.51;5.75;5.51;92320;1;AFLT;20000901
180000;5.11;5.11;5.11;5.11;200;1;AFLT;20000904
180000;5.51;5.51;5.51;5.51;400;1;AFLT;20000905
180000;5.9;5.62;5.9;5.62;30850;1;AFLT;20000906
180000;5.62;6.03;6.03;5.6;37490;1;AFLT;20000907
180000;5.74;5.7;5.74;5.7;25700;1;AFLT;20000908
180000;5.7;5.7;5.7;5.7;10000;1;AFLT;20000912
180000;5.61;5.8;5.8;5.61;3859;1;AFLT;20000913
180000;5.5;5.5;5.55;5.5;33840;1;AFLT;20000915
180000;5.0;5.1;5.1;5.0;6000;1;AFLT;20000921
180000;5.0;5.0;5.0;5.0;25000;1;AFLT;20000922
180000;5.4;5.3;5.4;5.3;30000;1;AFLT;20000926
180000;5.84;5.84;5.84;5.84;1000;1;AFLT;20000927
180000;6.16;5.97;6.24;5.97;103209;1;AFLT;20000928
180000;7.0;6.5;7.0;6.5;56409;1;AFLT;20000929
180000;7.0;7.0;7.0;7.0;20000;1;AFLT;20001002
